instance,domain,agents,bays,candidates,items,placement,goal,atoms,worlds,designated,ground_actions,heuristic,strategy,depth,expanded,generated,leaves,branches,ground_s,plan_s,status
public-a4-b5-u2-depot-nested,public,4,5,2,,depot,nested,50,2,2,72,knowledge-spread,AO*,5,5438,5482,2,6,1.257,0.032,solved
public-a4-b5-u2-spread-ck,public,4,5,2,,spread,ck,50,2,2,72,knowledge-spread,AO*,2,137,167,2,3,1.324,0.005,solved
public-a4-b5-u2-spread-nested,public,4,5,2,,spread,nested,50,2,2,72,knowledge-spread,AO*,2,137,167,2,3,1.346,0.005,solved
public-a4-b5-u3-depot-ck,public,4,5,3,,depot,ck,50,3,3,72,knowledge-spread,AO*,6,43585,45496,3,8,2.531,0.338,solved
public-a4-b5-u3-depot-nested,public,4,5,3,,depot,nested,50,3,3,72,knowledge-spread,AO*,6,43585,45496,3,8,2.679,0.341,solved
public-a4-b5-u3-spread-ck,public,4,5,3,,spread,ck,50,3,3,72,knowledge-spread,AO*,4,12570,15105,3,6,2.587,0.116,solved
public-a4-b5-u3-spread-nested,public,4,5,3,,spread,nested,50,3,3,72,knowledge-spread,AO*,4,12570,15105,3,6,2.531,0.102,solved
public-a4-b6-u4-depot-ck,public,4,6,4,,depot,ck,66,4,4,88,knowledge-spread,AO*,8,2409502,2551547,4,11,80.699,26.204,solved
public-a4-b6-u4-depot-nested,public,4,6,4,,depot,nested,66,4,4,88,knowledge-spread,AO*,8,2409502,2551547,4,11,80.351,21.934,solved
public-a4-b6-u4-spread-ck,public,4,6,4,,spread,ck,66,4,4,88,knowledge-spread,AO*,6,1104747,1229597,4,9,76.152,12.025,solved
public-a4-b6-u4-spread-nested,public,4,6,4,,spread,nested,66,4,4,88,knowledge-spread,AO*,6,1104747,1229597,4,9,76.600,10.305,solved
radio-a2-b3-u2-depot-ck,radio,2,3,2,,depot,ck,18,2,2,20,knowledge-spread,AO*,3,48,63,2,4,0.025,0.003,solved
radio-a2-b3-u2-depot-nested,radio,2,3,2,,depot,nested,18,2,2,20,knowledge-spread,AO*,3,48,63,2,4,0.024,0.003,solved
radio-a2-b3-u2-spread-ck,radio,2,3,2,,spread,ck,18,2,2,20,knowledge-spread,AO*,2,35,47,2,3,0.024,0.003,solved
radio-a2-b3-u2-spread-nested,radio,2,3,2,,spread,nested,18,2,2,20,knowledge-spread,AO*,2,35,47,2,3,0.024,0.003,solved
radio-a2-b4-u2-depot-ck,radio,2,4,2,,depot,ck,28,2,2,28,knowledge-spread,AO*,5,529,573,2,6,0.031,0.005,solved
radio-a2-b4-u2-depot-nested,radio,2,4,2,,depot,nested,28,2,2,28,knowledge-spread,AO*,5,529,573,2,6,0.031,0.005,solved
radio-a2-b4-u2-spread-ck,radio,2,4,2,,spread,ck,28,2,2,28,knowledge-spread,AO*,4,200,229,2,5,0.032,0.004,solved
radio-a2-b4-u2-spread-nested,radio,2,4,2,,spread,nested,28,2,2,28,knowledge-spread,AO*,4,200,229,2,5,0.033,0.004,solved
radio-a2-b4-u3-depot-ck,radio,2,4,3,,depot,ck,28,3,3,28,knowledge-spread,AO*,6,2263,2652,3,9,0.032,0.015,solved
radio-a2-b4-u3-depot-nested,radio,2,4,3,,depot,nested,28,3,3,28,knowledge-spread,AO*,6,2263,2652,3,9,0.034,0.014,solved
radio-a2-b4-u3-spread-ck,radio,2,4,3,,spread,ck,28,3,3,28,knowledge-spread,AO*,5,1216,1476,3,7,0.035,0.010,solved
radio-a2-b4-u3-spread-nested,radio,2,4,3,,spread,nested,28,3,3,28,knowledge-spread,AO*,5,1216,1476,3,7,0.036,0.009,solved
radio-a2-b5-u2-depot-ck,radio,2,5,2,,depot,ck,40,2,2,36,knowledge-spread,AO*,7,6654,6901,2,8,0.050,0.034,solved
radio-a2-b5-u2-depot-nested,radio,2,5,2,,depot,nested,40,2,2,36,knowledge-spread,AO*,7,6654,6901,2,8,0.044,0.033,solved
radio-a2-b5-u2-spread-ck,radio,2,5,2,,spread,ck,40,2,2,36,knowledge-spread,AO*,6,2801,2918,2,7,0.046,0.016,solved
radio-a2-b5-u2-spread-nested,radio,2,5,2,,spread,nested,40,2,2,36,knowledge-spread,AO*,6,2801,2918,2,7,0.045,0.016,solved
radio-a2-b5-u3-depot-ck,radio,2,5,3,,depot,ck,40,3,3,36,knowledge-spread,AO*,8,26561,29226,3,11,0.056,0.172,solved
radio-a2-b5-u3-depot-nested,radio,2,5,3,,depot,nested,40,3,3,36,knowledge-spread,AO*,8,26561,29226,3,11,0.051,0.140,solved
radio-a2-b5-u3-spread-ck,radio,2,5,3,,spread,ck,40,3,3,36,knowledge-spread,AO*,7,11274,12459,3,10,0.050,0.078,solved
radio-a2-b5-u3-spread-nested,radio,2,5,3,,spread,nested,40,3,3,36,knowledge-spread,AO*,7,11274,12459,3,10,0.048,0.062,solved
radio-a2-b6-u4-depot-ck,radio,2,6,4,,depot,ck,54,4,4,44,knowledge-spread,AO*,11,1464189,1608943,4,17,0.121,11.651,solved
