instance,domain,agents,bays,candidates,items,placement,goal,atoms,worlds,designated,ground_actions,heuristic,strategy,depth,expanded,generated,leaves,branches,ground_s,plan_s,status
radio-a4-b5-u2-spread-ck,radio,4,5,2,,spread,ck,50,2,2,72,knowledge-spread,AO*,4,3058,3319,2,6,1.552,0.036,solved
radio-a4-b5-u2-spread-nested,radio,4,5,2,,spread,nested,50,2,2,72,knowledge-spread,AO*,4,1635,1798,2,5,1.508,0.015,solved
radio-a4-b5-u3-depot-ck,radio,4,5,3,,depot,ck,50,3,3,72,knowledge-spread,AO*,8,2166161,2301817,3,13,2.527,18.392,solved
radio-a4-b5-u3-depot-nested,radio,4,5,3,,depot,nested,50,3,3,72,knowledge-spread,AO*,8,2144172,2273890,3,11,2.493,14.813,solved
radio-a4-b5-u3-spread-ck,radio,4,5,3,,spread,ck,50,3,3,72,knowledge-spread,AO*,5,30011,34216,3,8,2.538,0.274,solved
radio-a4-b5-u3-spread-nested,radio,4,5,3,,spread,nested,50,3,3,72,knowledge-spread,AO*,5,29439,33880,3,8,2.637,0.203,solved
radio-a4-b6-u4-depot-ck,radio,4,6,4,,depot,ck,,,,,,,,,,,,78.627,60.037,plan-timeout
radio-a4-b6-u4-depot-nested,radio,4,6,4,,depot,nested,,,,,,,,,,,,74.808,60.042,plan-timeout
radio-a4-b6-u4-spread-ck,radio,4,6,4,,spread,ck,,,,,,,,,,,,71.300,60.048,plan-timeout
radio-a4-b6-u4-spread-nested,radio,4,6,4,,spread,nested,,,,,,,,,,,,70.404,60.050,plan-timeout
