# goal planned for: G2
# Kw_r1_P = (Kw r1 pallet-at_bay2)
# K_r2_Kw_r1_P = (K r2 (Kw r1 pallet-at_bay2))
# Kw_r2_P = (Kw r2 pallet-at_bay2)
wall_s,sim_s,phase,Kw_r1_P,K_r2_Kw_r1_P,Kw_r2_P
0.527719,0,"",no-answer,FALSE,FALSE
1.08862,0,"",FALSE,FALSE,FALSE
1.52771,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
2.02767,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
2.52767,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
3.02767,0.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
3.52767,0.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
4.02766,1.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
4.5277,1.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
5.02766,2.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
5.52766,2.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
6.02765,3.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
6.52764,3.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
7.02764,4.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
7.52764,4.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
8.02763,5.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
8.52763,5.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
9.02764,6.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
9.52762,6.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
10.0276,7.3,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
10.5276,7.8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
11.0276,8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
11.5276,8.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
12.0276,8.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
12.5277,9.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
13.0276,9.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
13.5276,10.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
14.0276,10.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
14.5276,11.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
15.0276,11.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
15.5276,12.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
16.0276,12.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
16.5276,13.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
17.0276,13.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
17.5276,14.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
18.0276,14.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
18.5276,15.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
19.0276,15.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
19.5276,16.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
20.0275,16.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
20.5275,17.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
21.0275,17.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
21.5275,18.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
22.0275,18.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
22.5275,19.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
23.0275,19.7,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
23.5275,20,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
24.0275,20.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
24.5275,21,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
25.0275,21.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
25.5275,22,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
26.0275,22.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
26.5275,23,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
27.0275,23.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
27.5275,24,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
28.0275,24.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
28.5275,25,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
29.0275,25.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
29.5275,26,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
30.0275,26.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
30.5275,27,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
