1	80	133	2	11	3011	3143	0.05
2	89	280	2	12	11077	11180	0.28
3	98	441	2	12	50257	50360	2.33
4	107	616	2	12	287602	287705	48.41
5	116	805	2	12	849924	850027	286.27
